method,method_label,seed_per_class,generated_total,train_size_augmented,model,accuracy
conditional_timegan,Conditional TimeGAN,3,570,627,1D-CNN,0.10902255639097744
conditional_timegan,Conditional TimeGAN,3,570,627,GRU,0.05263157894736842
conditional_timegan,Conditional TimeGAN,3,570,627,LSTM,0.022556390977443608
conditional_timegan,Conditional TimeGAN,3,570,627,CNN-GRU,0.05263157894736842
conditional_timegan,Conditional TimeGAN,3,570,627,RandomForest,0.7706766917293233
conditional_timegan,Conditional TimeGAN,5,570,665,1D-CNN,0.09022556390977443
conditional_timegan,Conditional TimeGAN,5,570,665,GRU,0.05263157894736842
conditional_timegan,Conditional TimeGAN,5,570,665,LSTM,0.05263157894736842
conditional_timegan,Conditional TimeGAN,5,570,665,CNN-GRU,0.05263157894736842
conditional_timegan,Conditional TimeGAN,5,570,665,RandomForest,0.8796992481203008
conditional_timegan,Conditional TimeGAN,8,760,912,1D-CNN,0.16165413533834586
conditional_timegan,Conditional TimeGAN,8,760,912,GRU,0.05263157894736842
conditional_timegan,Conditional TimeGAN,8,760,912,LSTM,0.05263157894736842
conditional_timegan,Conditional TimeGAN,8,760,912,CNN-GRU,0.05263157894736842
conditional_timegan,Conditional TimeGAN,8,760,912,RandomForest,0.8759398496240601
conditional_timegan,Conditional TimeGAN,10,950,1140,1D-CNN,0.10526315789473684
conditional_timegan,Conditional TimeGAN,10,950,1140,GRU,0.05263157894736842
conditional_timegan,Conditional TimeGAN,10,950,1140,LSTM,0.05263157894736842
conditional_timegan,Conditional TimeGAN,10,950,1140,CNN-GRU,0.05263157894736842
conditional_timegan,Conditional TimeGAN,10,950,1140,RandomForest,0.8947368421052632
conditional_timegan,Conditional TimeGAN,12,1140,1368,1D-CNN,0.13157894736842105
conditional_timegan,Conditional TimeGAN,12,1140,1368,GRU,0.05263157894736842
conditional_timegan,Conditional TimeGAN,12,1140,1368,LSTM,0.05263157894736842
conditional_timegan,Conditional TimeGAN,12,1140,1368,CNN-GRU,0.05263157894736842
conditional_timegan,Conditional TimeGAN,12,1140,1368,RandomForest,0.8909774436090225
conditional_timegan,Conditional TimeGAN,15,1425,1710,1D-CNN,0.20300751879699247
conditional_timegan,Conditional TimeGAN,15,1425,1710,GRU,0.10150375939849623
conditional_timegan,Conditional TimeGAN,15,1425,1710,LSTM,0.05263157894736842
conditional_timegan,Conditional TimeGAN,15,1425,1710,CNN-GRU,0.05263157894736842
conditional_timegan,Conditional TimeGAN,15,1425,1710,RandomForest,0.9511278195488722
conditional_timegan,Conditional TimeGAN,17,1615,1938,1D-CNN,0.10150375939849623
conditional_timegan,Conditional TimeGAN,17,1615,1938,GRU,0.05263157894736842
conditional_timegan,Conditional TimeGAN,17,1615,1938,LSTM,0.05263157894736842
conditional_timegan,Conditional TimeGAN,17,1615,1938,CNN-GRU,0.05263157894736842
conditional_timegan,Conditional TimeGAN,17,1615,1938,RandomForest,0.9285714285714286
conditional_timegan,Conditional TimeGAN,20,1900,2280,1D-CNN,0.09398496240601503
conditional_timegan,Conditional TimeGAN,20,1900,2280,GRU,0.05263157894736842
conditional_timegan,Conditional TimeGAN,20,1900,2280,LSTM,0.05263157894736842
conditional_timegan,Conditional TimeGAN,20,1900,2280,CNN-GRU,0.07518796992481203
conditional_timegan,Conditional TimeGAN,20,1900,2280,RandomForest,0.9210526315789473
