method,method_label,seed_per_class,generated_total,synthetic_count,train_size,model,accuracy,seed_only_accuracy,improvement_pct
seed_only,Seed Only (No Synthetic),3,0,0,57,1D-CNN,0.2593984962406015,0.2593984962406015,0.0
seed_only,Seed Only (No Synthetic),3,0,0,57,GRU,0.0526315789473684,0.0526315789473684,0.0
seed_only,Seed Only (No Synthetic),3,0,0,57,LSTM,0.0526315789473684,0.0526315789473684,0.0
seed_only,Seed Only (No Synthetic),3,0,0,57,CNN-GRU,0.0526315789473684,0.0526315789473684,0.0
seed_only,Seed Only (No Synthetic),3,0,0,57,RandomForest,0.7669172932330827,0.7669172932330827,0.0
seed_only,Seed Only (No Synthetic),4,0,0,76,1D-CNN,0.2857142857142857,0.2857142857142857,0.0
seed_only,Seed Only (No Synthetic),4,0,0,76,GRU,0.0714285714285714,0.0714285714285714,0.0
seed_only,Seed Only (No Synthetic),4,0,0,76,LSTM,0.0526315789473684,0.0526315789473684,0.0
seed_only,Seed Only (No Synthetic),4,0,0,76,CNN-GRU,0.1015037593984962,0.1015037593984962,0.0
seed_only,Seed Only (No Synthetic),4,0,0,76,RandomForest,0.8609022556390977,0.8609022556390977,0.0
seed_only,Seed Only (No Synthetic),5,0,0,95,1D-CNN,0.3458646616541353,0.3458646616541353,0.0
seed_only,Seed Only (No Synthetic),5,0,0,95,GRU,0.1052631578947368,0.1052631578947368,0.0
seed_only,Seed Only (No Synthetic),5,0,0,95,LSTM,0.0526315789473684,0.0526315789473684,0.0
seed_only,Seed Only (No Synthetic),5,0,0,95,CNN-GRU,0.1278195488721804,0.1278195488721804,0.0
seed_only,Seed Only (No Synthetic),5,0,0,95,RandomForest,0.8646616541353384,0.8646616541353384,0.0
seed_only,Seed Only (No Synthetic),6,0,0,114,1D-CNN,0.4360902255639097,0.4360902255639097,0.0
seed_only,Seed Only (No Synthetic),6,0,0,114,GRU,0.1616541353383458,0.1616541353383458,0.0
seed_only,Seed Only (No Synthetic),6,0,0,114,LSTM,0.0526315789473684,0.0526315789473684,0.0
seed_only,Seed Only (No Synthetic),6,0,0,114,CNN-GRU,0.1353383458646616,0.1353383458646616,0.0
seed_only,Seed Only (No Synthetic),6,0,0,114,RandomForest,0.8872180451127819,0.8872180451127819,0.0
seed_only,Seed Only (No Synthetic),7,0,0,133,1D-CNN,0.4924812030075188,0.4924812030075188,0.0
seed_only,Seed Only (No Synthetic),7,0,0,133,GRU,0.1428571428571428,0.1428571428571428,0.0
seed_only,Seed Only (No Synthetic),7,0,0,133,LSTM,0.1015037593984962,0.1015037593984962,0.0
seed_only,Seed Only (No Synthetic),7,0,0,133,CNN-GRU,0.1654135338345864,0.1654135338345864,0.0
seed_only,Seed Only (No Synthetic),7,0,0,133,RandomForest,0.924812030075188,0.924812030075188,0.0
seed_only,Seed Only (No Synthetic),8,0,0,152,1D-CNN,0.4661654135338345,0.4661654135338345,0.0
seed_only,Seed Only (No Synthetic),8,0,0,152,GRU,0.1090225563909774,0.1090225563909774,0.0
seed_only,Seed Only (No Synthetic),8,0,0,152,LSTM,0.1353383458646616,0.1353383458646616,0.0
seed_only,Seed Only (No Synthetic),8,0,0,152,CNN-GRU,0.1052631578947368,0.1052631578947368,0.0
seed_only,Seed Only (No Synthetic),8,0,0,152,RandomForest,0.8984962406015038,0.8984962406015038,0.0
seed_only,Seed Only (No Synthetic),9,0,0,171,1D-CNN,0.6654135338345865,0.6654135338345865,0.0
seed_only,Seed Only (No Synthetic),9,0,0,171,GRU,0.1052631578947368,0.1052631578947368,0.0
seed_only,Seed Only (No Synthetic),9,0,0,171,LSTM,0.1353383458646616,0.1353383458646616,0.0
seed_only,Seed Only (No Synthetic),9,0,0,171,CNN-GRU,0.1541353383458646,0.1541353383458646,0.0
seed_only,Seed Only (No Synthetic),9,0,0,171,RandomForest,0.943609022556391,0.943609022556391,0.0
seed_only,Seed Only (No Synthetic),10,0,0,190,1D-CNN,0.6278195488721805,0.6278195488721805,0.0
seed_only,Seed Only (No Synthetic),10,0,0,190,GRU,0.1052631578947368,0.1052631578947368,0.0
seed_only,Seed Only (No Synthetic),10,0,0,190,LSTM,0.1353383458646616,0.1353383458646616,0.0
seed_only,Seed Only (No Synthetic),10,0,0,190,CNN-GRU,0.1052631578947368,0.1052631578947368,0.0
seed_only,Seed Only (No Synthetic),10,0,0,190,RandomForest,0.9172932330827068,0.9172932330827068,0.0
seed_only,Seed Only (No Synthetic),11,0,0,209,1D-CNN,0.6729323308270677,0.6729323308270677,0.0
seed_only,Seed Only (No Synthetic),11,0,0,209,GRU,0.1052631578947368,0.1052631578947368,0.0
seed_only,Seed Only (No Synthetic),11,0,0,209,LSTM,0.150375939849624,0.150375939849624,0.0
seed_only,Seed Only (No Synthetic),11,0,0,209,CNN-GRU,0.1052631578947368,0.1052631578947368,0.0
seed_only,Seed Only (No Synthetic),11,0,0,209,RandomForest,0.9172932330827068,0.9172932330827068,0.0
seed_only,Seed Only (No Synthetic),12,0,0,228,1D-CNN,0.7330827067669173,0.7330827067669173,0.0
seed_only,Seed Only (No Synthetic),12,0,0,228,GRU,0.1052631578947368,0.1052631578947368,0.0
seed_only,Seed Only (No Synthetic),12,0,0,228,LSTM,0.1165413533834586,0.1165413533834586,0.0
seed_only,Seed Only (No Synthetic),12,0,0,228,CNN-GRU,0.1052631578947368,0.1052631578947368,0.0
seed_only,Seed Only (No Synthetic),12,0,0,228,RandomForest,0.9699248120300752,0.9699248120300752,0.0
seed_only,Seed Only (No Synthetic),13,0,0,247,1D-CNN,0.7406015037593985,0.7406015037593985,0.0
seed_only,Seed Only (No Synthetic),13,0,0,247,GRU,0.1165413533834586,0.1165413533834586,0.0
seed_only,Seed Only (No Synthetic),13,0,0,247,LSTM,0.1165413533834586,0.1165413533834586,0.0
seed_only,Seed Only (No Synthetic),13,0,0,247,CNN-GRU,0.1353383458646616,0.1353383458646616,0.0
