method,method_label,seed_per_class,seed_samples,generated_total,train_size_augmented,model,accuracy
mixup_jitter,Mixup + Jitter,3,57,190,247,1D-CNN,0.7406015037593985
mixup_jitter,Mixup + Jitter,3,57,190,247,GRU,0.11278195488721804
mixup_jitter,Mixup + Jitter,3,57,190,247,LSTM,0.15789473684210525
mixup_jitter,Mixup + Jitter,3,57,190,247,CNN-GRU,0.15037593984962405
mixup_jitter,Mixup + Jitter,3,57,190,247,RandomForest,0.7894736842105263
magnitude_scaling,Magnitude Scaling + Jitter,3,57,190,247,1D-CNN,0.6278195488721805
magnitude_scaling,Magnitude Scaling + Jitter,3,57,190,247,GRU,0.10526315789473684
magnitude_scaling,Magnitude Scaling + Jitter,3,57,190,247,LSTM,0.11654135338345864
magnitude_scaling,Magnitude Scaling + Jitter,3,57,190,247,CNN-GRU,0.23308270676691728
magnitude_scaling,Magnitude Scaling + Jitter,3,57,190,247,RandomForest,0.7781954887218046
time_shift,Time Shift + Jitter,3,57,190,247,1D-CNN,0.6954887218045113
time_shift,Time Shift + Jitter,3,57,190,247,GRU,0.10526315789473684
time_shift,Time Shift + Jitter,3,57,190,247,LSTM,0.10526315789473684
time_shift,Time Shift + Jitter,3,57,190,247,CNN-GRU,0.12781954887218044
time_shift,Time Shift + Jitter,3,57,190,247,RandomForest,0.8383458646616542
time_warp,Time Warping + Jitter,3,57,190,247,1D-CNN,0.6954887218045113
time_warp,Time Warping + Jitter,3,57,190,247,GRU,0.10526315789473684
time_warp,Time Warping + Jitter,3,57,190,247,LSTM,0.10526315789473684
time_warp,Time Warping + Jitter,3,57,190,247,CNN-GRU,0.14661654135338345
time_warp,Time Warping + Jitter,3,57,190,247,RandomForest,0.7669172932330827
permutation,Permutation + Jitter,3,57,190,247,1D-CNN,0.7218045112781954
permutation,Permutation + Jitter,3,57,190,247,GRU,0.11654135338345864
permutation,Permutation + Jitter,3,57,190,247,LSTM,0.11278195488721804
permutation,Permutation + Jitter,3,57,190,247,CNN-GRU,0.10526315789473684
permutation,Permutation + Jitter,3,57,190,247,RandomForest,0.7819548872180451
mixup_jitter,Mixup + Jitter,4,76,190,266,1D-CNN,0.8045112781954887
mixup_jitter,Mixup + Jitter,4,76,190,266,GRU,0.11278195488721804
mixup_jitter,Mixup + Jitter,4,76,190,266,LSTM,0.10526315789473684
mixup_jitter,Mixup + Jitter,4,76,190,266,CNN-GRU,0.22932330827067668
mixup_jitter,Mixup + Jitter,4,76,190,266,RandomForest,0.8458646616541353
magnitude_scaling,Magnitude Scaling + Jitter,4,76,190,266,1D-CNN,0.6390977443609023
magnitude_scaling,Magnitude Scaling + Jitter,4,76,190,266,GRU,0.10526315789473684
magnitude_scaling,Magnitude Scaling + Jitter,4,76,190,266,LSTM,0.09398496240601503
magnitude_scaling,Magnitude Scaling + Jitter,4,76,190,266,CNN-GRU,0.12406015037593984
magnitude_scaling,Magnitude Scaling + Jitter,4,76,190,266,RandomForest,0.8157894736842105
time_shift,Time Shift + Jitter,4,76,190,266,1D-CNN,0.8233082706766918
time_shift,Time Shift + Jitter,4,76,190,266,GRU,0.10526315789473684
time_shift,Time Shift + Jitter,4,76,190,266,LSTM,0.10526315789473684
time_shift,Time Shift + Jitter,4,76,190,266,CNN-GRU,0.20300751879699247
time_shift,Time Shift + Jitter,4,76,190,266,RandomForest,0.8421052631578947
time_warp,Time Warping + Jitter,4,76,190,266,1D-CNN,0.6842105263157895
time_warp,Time Warping + Jitter,4,76,190,266,GRU,0.12406015037593984
time_warp,Time Warping + Jitter,4,76,190,266,LSTM,0.10526315789473684
time_warp,Time Warping + Jitter,4,76,190,266,CNN-GRU,0.16541353383458646
time_warp,Time Warping + Jitter,4,76,190,266,RandomForest,0.8421052631578947
permutation,Permutation + Jitter,4,76,190,266,1D-CNN,0.8195488721804511
permutation,Permutation + Jitter,4,76,190,266,GRU,0.10526315789473684
permutation,Permutation + Jitter,4,76,190,266,LSTM,0.07518796992481203
permutation,Permutation + Jitter,4,76,190,266,CNN-GRU,0.14661654135338345
permutation,Permutation + Jitter,4,76,190,266,RandomForest,0.8270676691729323
mixup_jitter,Mixup + Jitter,5,95,190,285,1D-CNN,0.849624060150376
mixup_jitter,Mixup + Jitter,5,95,190,285,GRU,0.16541353383458646
mixup_jitter,Mixup + Jitter,5,95,190,285,LSTM,0.10526315789473684
mixup_jitter,Mixup + Jitter,5,95,190,285,CNN-GRU,0.13909774436090225
mixup_jitter,Mixup + Jitter,5,95,190,285,RandomForest,0.8909774436090225
magnitude_scaling,Magnitude Scaling + Jitter,5,95,190,285,1D-CNN,0.6917293233082706
magnitude_scaling,Magnitude Scaling + Jitter,5,95,190,285,GRU,0.10526315789473684
magnitude_scaling,Magnitude Scaling + Jitter,5,95,190,285,LSTM,0.10526315789473684
magnitude_scaling,Magnitude Scaling + Jitter,5,95,190,285,CNN-GRU,0.16917293233082706
magnitude_scaling,Magnitude Scaling + Jitter,5,95,190,285,RandomForest,0.8571428571428571
time_shift,Time Shift + Jitter,5,95,190,285,1D-CNN,0.8458646616541353
time_shift,Time Shift + Jitter,5,95,190,285,GRU,0.10526315789473684
time_shift,Time Shift + Jitter,5,95,190,285,LSTM,0.10526315789473684
time_shift,Time Shift + Jitter,5,95,190,285,CNN-GRU,0.19548872180451127
time_shift,Time Shift + Jitter,5,95,190,285,RandomForest,0.868421052631579
time_warp,Time Warping + Jitter,5,95,190,285,1D-CNN,0.7556390977443609
time_warp,Time Warping + Jitter,5,95,190,285,GRU,0.15413533834586465
time_warp,Time Warping + Jitter,5,95,190,285,LSTM,0.16165413533834586
time_warp,Time Warping + Jitter,5,95,190,285,CNN-GRU,0.16917293233082706
time_warp,Time Warping + Jitter,5,95,190,285,RandomForest,0.8421052631578947
permutation,Permutation + Jitter,5,95,190,285,1D-CNN,0.8270676691729323
permutation,Permutation + Jitter,5,95,190,285,GRU,0.11278195488721804
permutation,Permutation + Jitter,5,95,190,285,LSTM,0.10526315789473684
permutation,Permutation + Jitter,5,95,190,285,CNN-GRU,0.16917293233082706
permutation,Permutation + Jitter,5,95,190,285,RandomForest,0.8834586466165414
mixup_jitter,Mixup + Jitter,6,114,190,304,1D-CNN,0.7593984962406015
mixup_jitter,Mixup + Jitter,6,114,190,304,GRU,0.13909774436090225
mixup_jitter,Mixup + Jitter,6,114,190,304,LSTM,0.10526315789473684
mixup_jitter,Mixup + Jitter,6,114,190,304,CNN-GRU,0.15789473684210525
mixup_jitter,Mixup + Jitter,6,114,190,304,RandomForest,0.868421052631579
magnitude_scaling,Magnitude Scaling + Jitter,6,114,190,304,1D-CNN,0.6428571428571429
magnitude_scaling,Magnitude Scaling + Jitter,6,114,190,304,GRU,0.10526315789473684
magnitude_scaling,Magnitude Scaling + Jitter,6,114,190,304,LSTM,0.05263157894736842
magnitude_scaling,Magnitude Scaling + Jitter,6,114,190,304,CNN-GRU,0.18796992481203006
magnitude_scaling,Magnitude Scaling + Jitter,6,114,190,304,RandomForest,0.868421052631579
time_shift,Time Shift + Jitter,6,114,190,304,1D-CNN,0.8045112781954887
time_shift,Time Shift + Jitter,6,114,190,304,GRU,0.10526315789473684
time_shift,Time Shift + Jitter,6,114,190,304,LSTM,0.09774436090225563
time_shift,Time Shift + Jitter,6,114,190,304,CNN-GRU,0.12781954887218044
time_shift,Time Shift + Jitter,6,114,190,304,RandomForest,0.8796992481203008
time_warp,Time Warping + Jitter,6,114,190,304,1D-CNN,0.8007518796992481
time_warp,Time Warping + Jitter,6,114,190,304,GRU,0.10526315789473684
time_warp,Time Warping + Jitter,6,114,190,304,LSTM,0.10526315789473684
time_warp,Time Warping + Jitter,6,114,190,304,CNN-GRU,0.15413533834586465
time_warp,Time Warping + Jitter,6,114,190,304,RandomForest,0.868421052631579
permutation,Permutation + Jitter,6,114,190,304,1D-CNN,0.7255639097744361
permutation,Permutation + Jitter,6,114,190,304,GRU,0.12406015037593984
permutation,Permutation + Jitter,6,114,190,304,LSTM,0.13533834586466165
permutation,Permutation + Jitter,6,114,190,304,CNN-GRU,0.22556390977443608
permutation,Permutation + Jitter,6,114,190,304,RandomForest,0.8834586466165414
mixup_jitter,Mixup + Jitter,7,133,190,323,1D-CNN,0.8082706766917294
mixup_jitter,Mixup + Jitter,7,133,190,323,GRU,0.11654135338345864
mixup_jitter,Mixup + Jitter,7,133,190,323,LSTM,0.10526315789473684
mixup_jitter,Mixup + Jitter,7,133,190,323,CNN-GRU,0.16917293233082706
mixup_jitter,Mixup + Jitter,7,133,190,323,RandomForest,0.9022556390977443
magnitude_scaling,Magnitude Scaling + Jitter,7,133,190,323,1D-CNN,0.6917293233082706
magnitude_scaling,Magnitude Scaling + Jitter,7,133,190,323,GRU,0.12406015037593984
magnitude_scaling,Magnitude Scaling + Jitter,7,133,190,323,LSTM,0.10526315789473684
magnitude_scaling,Magnitude Scaling + Jitter,7,133,190,323,CNN-GRU,0.11278195488721804
magnitude_scaling,Magnitude Scaling + Jitter,7,133,190,323,RandomForest,0.9097744360902256
time_shift,Time Shift + Jitter,7,133,190,323,1D-CNN,0.8383458646616542
time_shift,Time Shift + Jitter,7,133,190,323,GRU,0.11654135338345864
time_shift,Time Shift + Jitter,7,133,190,323,LSTM,0.13909774436090225
time_shift,Time Shift + Jitter,7,133,190,323,CNN-GRU,0.2518796992481203
time_shift,Time Shift + Jitter,7,133,190,323,RandomForest,0.9060150375939849
time_warp,Time Warping + Jitter,7,133,190,323,1D-CNN,0.7669172932330827
time_warp,Time Warping + Jitter,7,133,190,323,GRU,0.16917293233082706
time_warp,Time Warping + Jitter,7,133,190,323,LSTM,0.11278195488721804
time_warp,Time Warping + Jitter,7,133,190,323,CNN-GRU,0.20300751879699247
time_warp,Time Warping + Jitter,7,133,190,323,RandomForest,0.8947368421052632
permutation,Permutation + Jitter,7,133,190,323,1D-CNN,0.8345864661654135
permutation,Permutation + Jitter,7,133,190,323,GRU,0.11278195488721804
permutation,Permutation + Jitter,7,133,190,323,LSTM,0.10526315789473684
permutation,Permutation + Jitter,7,133,190,323,CNN-GRU,0.19548872180451127
permutation,Permutation + Jitter,7,133,190,323,RandomForest,0.8796992481203008
mixup_jitter,Mixup + Jitter,8,152,190,342,1D-CNN,0.7330827067669173
mixup_jitter,Mixup + Jitter,8,152,190,342,GRU,0.15413533834586465
mixup_jitter,Mixup + Jitter,8,152,190,342,LSTM,0.09774436090225563
mixup_jitter,Mixup + Jitter,8,152,190,342,CNN-GRU,0.3082706766917293
mixup_jitter,Mixup + Jitter,8,152,190,342,RandomForest,0.8909774436090225
magnitude_scaling,Magnitude Scaling + Jitter,8,152,190,342,1D-CNN,0.7330827067669173
magnitude_scaling,Magnitude Scaling + Jitter,8,152,190,342,GRU,0.13533834586466165
magnitude_scaling,Magnitude Scaling + Jitter,8,152,190,342,LSTM,0.10526315789473684
magnitude_scaling,Magnitude Scaling + Jitter,8,152,190,342,CNN-GRU,0.19924812030075187
magnitude_scaling,Magnitude Scaling + Jitter,8,152,190,342,RandomForest,0.9210526315789473
time_shift,Time Shift + Jitter,8,152,190,342,1D-CNN,0.7819548872180451
time_shift,Time Shift + Jitter,8,152,190,342,GRU,0.11654135338345864
time_shift,Time Shift + Jitter,8,152,190,342,LSTM,0.10526315789473684
time_shift,Time Shift + Jitter,8,152,190,342,CNN-GRU,0.2518796992481203
