seed_per_class,generated_total,train_size_augmented,model,accuracy
3,50,107,1D-CNN,0.4323308270676692
3,50,107,GRU,0.10526315789473684
3,50,107,LSTM,0.05263157894736842
3,50,107,CNN-GRU,0.10526315789473684
3,50,107,RandomForest,0.7969924812030075
3,75,132,1D-CNN,0.5112781954887218
3,75,132,GRU,0.10526315789473684
3,75,132,LSTM,0.13533834586466165
3,75,132,CNN-GRU,0.12406015037593984
3,75,132,RandomForest,0.8082706766917294
3,100,157,1D-CNN,0.518796992481203
3,100,157,GRU,0.08270676691729323
3,100,157,LSTM,0.10526315789473684
3,100,157,CNN-GRU,0.10526315789473684
3,100,157,RandomForest,0.7969924812030075
4,50,126,1D-CNN,0.4323308270676692
4,50,126,GRU,0.15789473684210525
4,50,126,LSTM,0.05263157894736842
4,50,126,CNN-GRU,0.12406015037593984
4,50,126,RandomForest,0.8571428571428571
4,75,151,1D-CNN,0.5225563909774437
4,75,151,GRU,0.09022556390977443
4,75,151,LSTM,0.13157894736842105
4,75,151,CNN-GRU,0.10526315789473684
4,75,151,RandomForest,0.8233082706766918
4,100,176,1D-CNN,0.6240601503759399
4,100,176,GRU,0.10526315789473684
4,100,176,LSTM,0.10526315789473684
4,100,176,CNN-GRU,0.12406015037593984
4,100,176,RandomForest,0.8233082706766918
5,50,145,1D-CNN,0.5451127819548872
5,50,145,GRU,0.10526315789473684
5,50,145,LSTM,0.09774436090225563
5,50,145,CNN-GRU,0.10526315789473684
5,50,145,RandomForest,0.8345864661654135
5,75,170,1D-CNN,0.5451127819548872
5,75,170,GRU,0.10526315789473684
5,75,170,LSTM,0.10902255639097744
5,75,170,CNN-GRU,0.10902255639097744
5,75,170,RandomForest,0.7857142857142857
5,100,195,1D-CNN,0.6353383458646616
5,100,195,GRU,0.10526315789473684
5,100,195,LSTM,0.10526315789473684
5,100,195,CNN-GRU,0.11654135338345864
5,100,195,RandomForest,0.8458646616541353
6,50,164,1D-CNN,0.6578947368421053
6,50,164,GRU,0.10526315789473684
6,50,164,LSTM,0.10526315789473684
6,50,164,CNN-GRU,0.11278195488721804
6,50,164,RandomForest,0.9022556390977443
6,75,189,1D-CNN,0.6353383458646616
6,75,189,GRU,0.10526315789473684
6,75,189,LSTM,0.13533834586466165
6,75,189,CNN-GRU,0.11278195488721804
6,75,189,RandomForest,0.8383458646616542
6,100,214,1D-CNN,0.6917293233082706
6,100,214,GRU,0.11278195488721804
6,100,214,LSTM,0.10526315789473684
6,100,214,CNN-GRU,0.10526315789473684
6,100,214,RandomForest,0.8533834586466166
7,50,183,1D-CNN,0.6127819548872181
7,50,183,GRU,0.12030075187969924
7,50,183,LSTM,0.11654135338345864
7,50,183,CNN-GRU,0.15789473684210525
7,50,183,RandomForest,0.8834586466165414
7,75,208,1D-CNN,0.6616541353383458
7,75,208,GRU,0.10526315789473684
7,75,208,LSTM,0.10526315789473684
7,75,208,CNN-GRU,0.16541353383458646
7,75,208,RandomForest,0.8909774436090225
7,100,233,1D-CNN,0.7819548872180451
7,100,233,GRU,0.11654135338345864
7,100,233,LSTM,0.10526315789473684
7,100,233,CNN-GRU,0.11654135338345864
7,100,233,RandomForest,0.8984962406015038
8,50,202,1D-CNN,0.7593984962406015
8,50,202,GRU,0.10526315789473684
8,50,202,LSTM,0.10526315789473684
8,50,202,CNN-GRU,0.11654135338345864
8,50,202,RandomForest,0.8796992481203008
8,75,227,1D-CNN,0.7969924812030075
8,75,227,GRU,0.10526315789473684
8,75,227,LSTM,0.13533834586466165
8,75,227,CNN-GRU,0.12406015037593984
8,75,227,RandomForest,0.9285714285714286
8,100,252,1D-CNN,0.7518796992481203
8,100,252,GRU,0.11278195488721804
8,100,252,LSTM,0.21052631578947367
8,100,252,CNN-GRU,0.12406015037593984
8,100,252,RandomForest,0.8646616541353384
9,50,221,1D-CNN,0.6015037593984962
9,50,221,GRU,0.10526315789473684
9,50,221,LSTM,0.11654135338345864
9,50,221,CNN-GRU,0.13533834586466165
9,50,221,RandomForest,0.8759398496240601
9,75,246,1D-CNN,0.7706766917293233
9,75,246,GRU,0.12406015037593984
9,75,246,LSTM,0.10526315789473684
9,75,246,CNN-GRU,0.15037593984962405
9,75,246,RandomForest,0.9097744360902256
9,100,271,1D-CNN,0.7857142857142857
9,100,271,GRU,0.18045112781954886
9,100,271,LSTM,0.10526315789473684
9,100,271,CNN-GRU,0.18045112781954886
9,100,271,RandomForest,0.8947368421052632
10,50,240,1D-CNN,0.7255639097744361
10,50,240,GRU,0.11278195488721804
10,50,240,LSTM,0.10526315789473684
10,50,240,CNN-GRU,0.13533834586466165
10,50,240,RandomForest,0.9285714285714286
10,75,265,1D-CNN,0.8007518796992481
10,75,265,GRU,0.10526315789473684
10,75,265,LSTM,0.10526315789473684
10,75,265,CNN-GRU,0.20300751879699247
10,75,265,RandomForest,0.9060150375939849
10,100,290,1D-CNN,0.7255639097744361
10,100,290,GRU,0.10526315789473684
10,100,290,LSTM,0.10526315789473684
10,100,290,CNN-GRU,0.16541353383458646
10,100,290,RandomForest,0.9060150375939849
11,50,259,1D-CNN,0.7406015037593985
11,50,259,GRU,0.10526315789473684
11,50,259,LSTM,0.10526315789473684
11,50,259,CNN-GRU,0.10526315789473684
11,50,259,RandomForest,0.9172932330827067
11,75,284,1D-CNN,0.7180451127819549
11,75,284,GRU,0.10526315789473684
11,75,284,LSTM,0.10526315789473684
11,75,284,CNN-GRU,0.19924812030075187
11,75,284,RandomForest,0.8909774436090225
11,100,309,1D-CNN,0.8421052631578947
11,100,309,GRU,0.10526315789473684
11,100,309,LSTM,0.10526315789473684
11,100,309,CNN-GRU,0.16917293233082706
11,100,309,RandomForest,0.9172932330827067
12,50,278,1D-CNN,0.8571428571428571
12,50,278,GRU,0.11654135338345864
12,50,278,LSTM,0.10526315789473684
12,50,278,CNN-GRU,0.16917293233082706
12,50,278,RandomForest,0.868421052631579
12,75,303,1D-CNN,0.7406015037593985
12,75,303,GRU,0.11654135338345864
12,75,303,LSTM,0.10526315789473684
12,75,303,CNN-GRU,0.16541353383458646
12,75,303,RandomForest,0.9285714285714286
12,100,328,1D-CNN,0.6992481203007519
12,100,328,GRU,0.10526315789473684
12,100,328,LSTM,0.06390977443609022
12,100,328,CNN-GRU,0.21804511278195488
12,100,328,RandomForest,0.9398496240601504
13,50,297,1D-CNN,0.7894736842105263
13,50,297,GRU,0.11654135338345864
13,50,297,LSTM,0.10526315789473684
13,50,297,CNN-GRU,0.23308270676691728
13,50,297,RandomForest,0.9285714285714286
13,75,322,1D-CNN,0.7744360902255639
13,75,322,GRU,0.10526315789473684
13,75,322,LSTM,0.10526315789473684
13,75,322,CNN-GRU,0.15789473684210525
13,75,322,RandomForest,0.9511278195488722
13,100,347,1D-CNN,0.7255639097744361
13,100,347,GRU,0.10526315789473684
13,100,347,LSTM,0.10526315789473684
13,100,347,CNN-GRU,0.2706766917293233
13,100,347,RandomForest,0.8909774436090225
14,50,316,1D-CNN,0.8609022556390977
14,50,316,GRU,0.10526315789473684
14,50,316,LSTM,0.10526315789473684
14,50,316,CNN-GRU,0.24060150375939848
14,50,316,RandomForest,0.943609022556391
14,75,341,1D-CNN,0.7969924812030075
14,75,341,GRU,0.15037593984962405
14,75,341,LSTM,0.13533834586466165
14,75,341,CNN-GRU,0.2932330827067669
14,75,341,RandomForest,0.943609022556391
14,100,366,1D-CNN,0.7894736842105263
14,100,366,GRU,0.13909774436090225
14,100,366,LSTM,0.10526315789473684
14,100,366,CNN-GRU,0.21052631578947367
14,100,366,RandomForest,0.9360902255639098
15,50,335,1D-CNN,0.868421052631579
15,50,335,GRU,0.11278195488721804
15,50,335,LSTM,0.10526315789473684
15,50,335,CNN-GRU,0.22556390977443608
15,50,335,RandomForest,0.9398496240601504
15,75,360,1D-CNN,0.8082706766917294
15,75,360,GRU,0.10526315789473684
15,75,360,LSTM,0.10526315789473684
15,75,360,CNN-GRU,0.3308270676691729
15,75,360,RandomForest,0.9210526315789473
15,100,385,1D-CNN,0.7180451127819549
15,100,385,GRU,0.13909774436090225
15,100,385,LSTM,0.10526315789473684
15,100,385,CNN-GRU,0.18421052631578946
15,100,385,RandomForest,0.943609022556391
