method,method_label,seed_per_class,generated_total,train_size_augmented,model,accuracy
timegan,TimeGAN,3,570,627,1D-CNN,0.12406015037593984
timegan,TimeGAN,3,570,627,GRU,0.05263157894736842
timegan,TimeGAN,3,570,627,LSTM,0.05263157894736842
timegan,TimeGAN,3,570,627,CNN-GRU,0.05263157894736842
timegan,TimeGAN,3,570,627,RandomForest,0.8120300751879699
timegan,TimeGAN,4,570,646,1D-CNN,0.06390977443609022
timegan,TimeGAN,4,570,646,GRU,0.05263157894736842
timegan,TimeGAN,4,570,646,LSTM,0.05263157894736842
timegan,TimeGAN,4,570,646,CNN-GRU,0.05263157894736842
timegan,TimeGAN,4,570,646,RandomForest,0.8421052631578947
timegan,TimeGAN,5,570,665,1D-CNN,0.17669172932330826
timegan,TimeGAN,5,570,665,GRU,0.05263157894736842
timegan,TimeGAN,5,570,665,LSTM,0.05263157894736842
timegan,TimeGAN,5,570,665,CNN-GRU,0.05263157894736842
timegan,TimeGAN,5,570,665,RandomForest,0.8834586466165414
timegan,TimeGAN,6,570,684,1D-CNN,0.16917293233082706
timegan,TimeGAN,6,570,684,GRU,0.05263157894736842
timegan,TimeGAN,6,570,684,LSTM,0.05263157894736842
timegan,TimeGAN,6,570,684,CNN-GRU,0.05263157894736842
timegan,TimeGAN,6,570,684,RandomForest,0.8721804511278195
timegan,TimeGAN,7,665,798,1D-CNN,0.15037593984962405
timegan,TimeGAN,7,665,798,GRU,0.05263157894736842
timegan,TimeGAN,7,665,798,LSTM,0.05263157894736842
timegan,TimeGAN,7,665,798,CNN-GRU,0.0
timegan,TimeGAN,7,665,798,RandomForest,0.9022556390977443
timegan,TimeGAN,8,760,912,1D-CNN,0.09774436090225563
timegan,TimeGAN,8,760,912,GRU,0.05263157894736842
timegan,TimeGAN,8,760,912,LSTM,0.05263157894736842
timegan,TimeGAN,8,760,912,CNN-GRU,0.05263157894736842
timegan,TimeGAN,8,760,912,RandomForest,0.9285714285714286
timegan,TimeGAN,9,855,1026,1D-CNN,0.2819548872180451
timegan,TimeGAN,9,855,1026,GRU,0.05263157894736842
timegan,TimeGAN,9,855,1026,LSTM,0.05263157894736842
timegan,TimeGAN,9,855,1026,CNN-GRU,0.05263157894736842
timegan,TimeGAN,9,855,1026,RandomForest,0.8947368421052632
timegan,TimeGAN,10,950,1140,1D-CNN,0.10526315789473684
timegan,TimeGAN,10,950,1140,GRU,0.05263157894736842
timegan,TimeGAN,10,950,1140,LSTM,0.05263157894736842
timegan,TimeGAN,10,950,1140,CNN-GRU,0.05263157894736842
timegan,TimeGAN,10,950,1140,RandomForest,0.9135338345864662
timegan,TimeGAN,11,1045,1254,1D-CNN,0.2894736842105263
timegan,TimeGAN,11,1045,1254,GRU,0.05263157894736842
timegan,TimeGAN,11,1045,1254,LSTM,0.05263157894736842
timegan,TimeGAN,11,1045,1254,CNN-GRU,0.05263157894736842
timegan,TimeGAN,11,1045,1254,RandomForest,0.9135338345864662
timegan,TimeGAN,12,1140,1368,1D-CNN,0.05263157894736842
timegan,TimeGAN,12,1140,1368,GRU,0.05263157894736842
timegan,TimeGAN,12,1140,1368,LSTM,0.05263157894736842
timegan,TimeGAN,12,1140,1368,CNN-GRU,0.05263157894736842
timegan,TimeGAN,12,1140,1368,RandomForest,0.9022556390977443
timegan,TimeGAN,13,1235,1482,1D-CNN,0.22180451127819548
timegan,TimeGAN,13,1235,1482,GRU,0.05263157894736842
timegan,TimeGAN,13,1235,1482,LSTM,0.05263157894736842
timegan,TimeGAN,13,1235,1482,CNN-GRU,0.05263157894736842
timegan,TimeGAN,13,1235,1482,RandomForest,0.943609022556391
timegan,TimeGAN,14,1330,1596,1D-CNN,0.05263157894736842
timegan,TimeGAN,14,1330,1596,GRU,0.05263157894736842
timegan,TimeGAN,14,1330,1596,LSTM,0.05263157894736842
timegan,TimeGAN,14,1330,1596,CNN-GRU,0.05263157894736842
timegan,TimeGAN,14,1330,1596,RandomForest,0.9511278195488722
timegan,TimeGAN,15,1425,1710,1D-CNN,0.15413533834586465
timegan,TimeGAN,15,1425,1710,GRU,0.05263157894736842
timegan,TimeGAN,15,1425,1710,LSTM,0.05263157894736842
timegan,TimeGAN,15,1425,1710,CNN-GRU,0.045112781954887216
timegan,TimeGAN,15,1425,1710,RandomForest,0.9360902255639098
timegan,TimeGAN,16,1520,1824,1D-CNN,0.15037593984962405
timegan,TimeGAN,16,1520,1824,GRU,0.08646616541353383
timegan,TimeGAN,16,1520,1824,LSTM,0.05263157894736842
timegan,TimeGAN,16,1520,1824,CNN-GRU,0.09398496240601503
timegan,TimeGAN,16,1520,1824,RandomForest,0.9586466165413534
timegan,TimeGAN,17,1615,1938,1D-CNN,0.13157894736842105
timegan,TimeGAN,17,1615,1938,GRU,0.05263157894736842
timegan,TimeGAN,17,1615,1938,LSTM,0.05263157894736842
timegan,TimeGAN,17,1615,1938,CNN-GRU,0.14285714285714285
timegan,TimeGAN,17,1615,1938,RandomForest,0.9323308270676691
timegan,TimeGAN,18,1710,2052,1D-CNN,0.19548872180451127
timegan,TimeGAN,18,1710,2052,GRU,0.05263157894736842
timegan,TimeGAN,18,1710,2052,LSTM,0.05263157894736842
timegan,TimeGAN,18,1710,2052,CNN-GRU,0.03383458646616541
timegan,TimeGAN,18,1710,2052,RandomForest,0.9624060150375939
timegan,TimeGAN,19,1805,2166,1D-CNN,0.045112781954887216
timegan,TimeGAN,19,1805,2166,GRU,0.05263157894736842
timegan,TimeGAN,19,1805,2166,LSTM,0.05263157894736842
timegan,TimeGAN,19,1805,2166,CNN-GRU,0.06766917293233082
timegan,TimeGAN,19,1805,2166,RandomForest,0.9699248120300752
timegan,TimeGAN,20,1900,2280,1D-CNN,0.10150375939849623
timegan,TimeGAN,20,1900,2280,GRU,0.05263157894736842
timegan,TimeGAN,20,1900,2280,LSTM,0.05263157894736842
timegan,TimeGAN,20,1900,2280,CNN-GRU,0.05263157894736842
timegan,TimeGAN,20,1900,2280,RandomForest,0.9661654135338346
